sku,unit_cogs,product_name
VV-VITA-171,12.23,"Nachfolgeprodukt - Vision Care Complex, 120 Kapseln"
VV-VITA-372,12.78,"UMGEBUCHT - Vitamin D3 + K2 Depot, 90 Tabletten"
VV-VITA-119,5.01,"UMGEBUCHT - Magnesium + Kalium, 180 Kapseln"
VV-VITA-379,5.15,"Nachfolgeprodukt - Glucosamin Plus, 120 Kapseln"
VV-VITA-174,6.9,"Nachfolgeprodukt - Olivenblatt (40% Oleuropein), 90 Kapseln"
VV-VITA-90,6.32,"UMGEBUCHT - Beta Carotin, 180 Kapseln"
VV-VITA-127,7.63,"Nachfolgeprodukt - Safran Extrakt, 120 Kapseln"
VV-VITA-223,8.85,"Nachfolgeprodukt - Omega-3 Öl, 90 Kapseln"
CP-DQMG-RVN9,6.79,"Nachfolgeprodukt - Wild Yams + Zink, 120 Kapseln"
VV-VITA-208,7.57,"Nachfolgeprodukt - Rosskastanie Plus BIO, 120 Kapseln"
VV-VITA-199,5.29,"UMBUCHUNG nicht möglich - Johanniskraut mit Passionsblume BIO, 90 Kapseln"
VV-VITA-204,5.2,"Nachfolgeprodukt - Teufelskralle Plus, 120 Kapseln"
VV-VITA-318,4.77,"UMGEBUCHT - Knoblauch Plus, 90 Kapseln"
VV-VITA-256,8.02,"Nachfolgeprodukt - Kürbiskernöl BIO, 180 Kapseln"
VV-VITA-276,7.82,"UMGEBUCHT - Venaflux Complex, 120 Kapseln"
VV-VITA-310,5.02,"UMGEBUCHT - Bergamotte Extrakt, 120 Kapseln"
VV-VITA-243,6.33,"Nachfolgeprodukt - Multi Magnesium Complex, 180 Kapseln"
VV-VITA-341,5.27,"UMGEBUCHT - Vitamin B12 Tropfen, 50 ml"
VV-VITA-342,6.62,"UMGEBUCHT- Vitamin D3+K2 Tropfen, 31 ml"
VV-VITA-222-V,10.85,Bio Schwarzkümmelöl 300K
VV-VITA-396,2.74,MSM 300g
VV-VITA-225-V,16.11,Shilajit Mumijo 180K
VV-VITA-122-V,8.51,Immu Pro 240K
VV-VITA-49-V2,12.42,Eisen Plus 240K
VV-VITA-363-V,9.68,Apple Cider Vinegar 240K
VV-VITA-397,17.44,Reishi 240K
VV-VITA-101,7.77,"Nachfolgeprodukt - Rhodiola rosea Extrakt, 120 Kapseln"
VV-VITA-46,6.2,"UMGEBUCHT - Multivitamin Plus, 120 Kapseln"
VV-VITA-122,4.75,"Nachfolgeprodukt - Immu Pro Complex, 120 Kapseln"
VV-VITA-344,7.56,"UMGEBUCHT - KSM-66 BIO, 180 Kapseln"
VV-VITA-364,7.93,"UMGEBUCHT - BIO Astaxanthin Öl, 60 Kapseln"
VV-VITA-248,6.15,"UMGEBUCHT - Oregano Öl BIO, 90 Kapseln"
