campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina C Naturale BIO;649076562;1.4.2026;cpc;1,31;;90;0;0;0;0;0;0;upmFY9KW9;4260557420331;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381503;1.4.2026;cpc;0,31;;90;2;2,222222;0;0,62;0;0;upmD7EWMP;4260557420454;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;649150541;1.4.2026;cpc;0,31;;88;1;1,136364;0;0,31;0;0;upmDFWTTT;4260557423110;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Leinsamen?l BIO;658280092;1.4.2026;cpc;0,51;;83;0;0;0;0;0;0;upmKU4FAU;4260557422038;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray Junior;649103717;1.4.2026;cpc;0,31;;83;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145075;1.4.2026;cpc;0,91;;83;2;2,409639;0;1,82;0;0;upmKAXT9Y;4260557422915;0,91
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658280057;1.4.2026;cpc;0,61;;82;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Digestive Enzymes Complex;649113218;1.4.2026;cpc;0,51;;82;1;1,219512;0;0,51;0;0;upmP3AFZZ;4260557422533;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano;658352468;1.4.2026;cpc;0,31;;81;0;0;0;0;0;0;upmGMGWYP;4260309481979;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Olivenblatt (40% Oleuropein);619682203;1.4.2026;cpc;0,51;;81;0;0;0;0;0;0;upmZ43LYR;4260557420898;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Folato;649111206;1.4.2026;cpc;0,31;;80;0;0;0;0;0;0;upmZR3PP7;4260557422496;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene Plus;641622772;1.4.2026;cpc;0,51;;78;1;1,282051;0;0,51;0;0;upmGPMUEM;4260557422427;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Liver Active Complex;658445100;1.4.2026;cpc;0,31;;78;0;0;0;0;0;0;14250812;4260557420188;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;643057199;1.4.2026;cpc;0,31;;78;0;0;0;0;0;0;14250551;4260309484208;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;620545279;1.4.2026;cpc;1,71;;75;3;4;0;5,13;0;0;upm9KDWAZ;4260557421383;1,71
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Spirulina BIO +  Clorella BIO;658331804;1.4.2026;cpc;0,31;;75;0;0;0;0;0;0;14250597;4260309484185;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Johanniskraut mit Passionsblume BIO;658280045;1.4.2026;cpc;0,31;;75;0;0;0;0;0;0;upmYMX3D7;4260557421147;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola Rosea;658445094;1.4.2026;cpc;0,31;;73;0;0;0;0;0;0;14251036;4260557420102;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Aglio Plus;649116897;1.4.2026;cpc;0,31;;72;0;0;0;0;0;0;upm2WRLPU;4260557422632;0
