campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Shiitake Extrakt;658280087;2.3.2026;cpc;0,31;;5;0;0;0;0;0;0;upmZ7P4AX;4260557421970;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Tribulus terrestris Extrakt;643082758;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;14251088;4260309481313;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Carciofo BIO;649084128;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;upmUTCWKM;4260557421215;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Brennnessel BIO;643089721;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;upm9RX43T;4260557421031;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Shiitake Extrakt;658280086;2.3.2026;cpc;0,51;;4;0;0;0;0;0;0;upmZ7P4AX;4260557421970;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Liver Active Complex;619661159;2.3.2026;cpc;0,51;;4;0;0;0;0;0;0;14250812;4260557420188;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Lecithin BIO;652876638;2.3.2026;cpc;1,31;;4;0;0;0;0;0;0;upm2HFKPC;4260557422021;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Triphala BIO;620567265;2.3.2026;cpc;0,51;;4;1;25;0;0,51;0;0;upmGL239Y;4260557420812;0,51
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Berberin + Schwarzer Knoblauch;658347580;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;upmC4GHAR;4260557421758;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Chlorella BIO + Spirulina BIO;620611807;2.3.2026;cpc;0,51;;4;0;0;0;0;0;0;14250597;4260309484185;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Black Maca Plus;643135686;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;upmG4PKUG;4260557423042;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;643233340;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;upmWCKTTE;4260309481214;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;643085982;2.3.2026;cpc;0,71;;4;0;0;0;0;0;0;upmUX2FW3;4260557420638;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Resveratrol + Nicotinamid;619676602;2.3.2026;cpc;0,51;;4;0;0;0;0;0;0;upmGDDD7G;4260557420805;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B Plus;658283024;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;14251094;4260309482754;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutammina in Polvere;649157245;2.3.2026;cpc;0,51;;4;0;0;0;0;0;0;upmUPTFMH;4260557423233;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glicina in Polvere;658334361;2.3.2026;cpc;1,01;;4;0;0;0;0;0;0;upmR9H4DE;4260557422595;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Kudzu Plus;649085977;2.3.2026;cpc;0,31;;4;1;25;0;0,31;0;0;upmRLD9ZM;4260557421314;0,31
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Chlorella BIO;620609040;2.3.2026;cpc;0,51;;4;0;0;0;0;0;0;upm2E4UWR;4260557421017;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Cherry;643057333;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;14251102;4260557420027;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;643088059;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;upmTYL3Y7;4260557420737;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;643136807;2.3.2026;cpc;0,31;;4;0;0;0;0;0;0;upmDFWTTT;4260557423110;0
