campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina;649092862;7.5.2026;cpc;0,41;;71;0;0;0;0;0;0;upmYPTY2W;4260557421925;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;620567054;7.5.2026;cpc;0,51;;66;1;1,515152;0;0,51;0;0;upmTYL3Y7;4260557420737;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cumino Nero BIO;658352477;7.5.2026;cpc;0,51;;63;0;0;0;0;0;0;upmEUZ9F7;4260557421376;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445101;7.5.2026;cpc;1,01;;62;0;0;0;0;0;0;14250953;4260557420249;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Balance Complex;658381499;7.5.2026;cpc;0,31;;77;1;1,639344;0;0,31;0;0;upmUX2FW3;4260557420638;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;629500801;7.5.2026;cpc;1,01;;60;2;3,333333;0;2,02;0;0;upm2XGYDU;4260557422489;1,01
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Griffonia Plus;641628925;7.5.2026;cpc;0,51;;59;0;0;0;0;0;0;upmHCULGA;4260557422755;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Glicina in Polvere;658296353;7.5.2026;cpc;0,31;;77;0;0;0;0;0;0;upmTGWG29;4260557423479;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;643090107;7.5.2026;cpc;0,31;1;68;2;3,389831;50;0,62;19,9;3209,677419;upmD3U322;4260557421192;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;619660946;7.5.2026;cpc;1,01;;58;4;6,896552;0;4,04;0;0;14251036;4260557420102;1,01
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;649077191;7.5.2026;cpc;0,51;;58;0;0;0;0;0;0;upm7C9XR2;4260557420836;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103715;7.5.2026;cpc;0,51;;57;2;3,508772;0;1,02;0;0;upmKY422A;4260557422212;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Bromelina;620571075;7.5.2026;cpc;0,51;;56;2;3,571429;0;1,02;0;0;upm43HM34;4260557421130;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Bisglicinato;649159286;7.5.2026;cpc;1,31;;66;1;1,785714;0;1,31;0;0;upmX4LT4H;4260557423257;1,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381378;7.5.2026;cpc;1,01;;56;5;8,928571;0;5,05;0;0;upmKYYZM4;4260557423486;1,01
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334350;7.5.2026;cpc;0,81;;75;3;5,357143;0;2,43;0;0;upmK3CG99;4260557422656;0,81
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;619721771;7.5.2026;cpc;0,51;;55;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Elektrolyte Plus;658280160;7.5.2026;cpc;0,31;;58;0;0;0;0;0;0;upmD23XCL;4260557422823;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Cherry;629516457;7.5.2026;cpc;0,51;;54;0;0;0;0;0;0;14251102;4260557420027;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Papaya BIO;620527447;7.5.2026;cpc;0,51;;53;0;0;0;0;0;0;upm9HWLUD;4260557421055;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;620538813;7.5.2026;cpc;1,51;;53;3;5,660377;0;4,53;0;0;upmKAXT9Y;4260557422915;1,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;641650857;7.5.2026;cpc;0,51;;53;1;1,886792;0;0,51;0;0;upmKAXT9Y;4260557422915;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;620565741;7.5.2026;cpc;1,21;;52;1;1,923077;0;1,21;0;0;upmWCKTTE;4260309481214;1,21
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Eisen Bisglycinat;620565118;7.5.2026;cpc;0,51;;52;1;1,923077;0;0,51;0;0;14250692;4260309483065;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658295457;7.5.2026;cpc;1,71;;52;1;1,923077;0;1,71;0;0;upm7PGM77;4260557421765;1,71
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;625786532;7.5.2026;cpc;1,01;;52;3;5,769231;0;3,03;0;0;upm7PGM77;4260557421765;1,01
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cardo Mariano;658352468;7.5.2026;cpc;0,31;;53;0;0;0;0;0;0;upmGMGWYP;4260309481979;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prostaid Complex;658727261;7.5.2026;cpc;1,31;;50;1;2;0;1,31;0;0;upmCEE43U;4260557420515;1,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Artiglio del Diavolo Plus;620572756;7.5.2026;cpc;0,51;;50;1;2;0;0,51;0;0;upmD3U322;4260557421192;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;625778996;7.5.2026;cpc;0,81;;51;2;4;0;1,62;0;0;upmEUZ9F7;4260557421376;0,81
