campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Taurin Plus;658282814;3.5.2026;cpc;0,31;;15;0;0;0;0;0;0;upmXXW9XA;4260557423059;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Mushroom Mix Complex;641622719;3.5.2026;cpc;0,51;;13;1;7,692308;0;0,51;0;0;upm4XDXPR;4260557422045;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Origano BIO;641622706;3.5.2026;cpc;0,51;;13;1;7,692308;0;0,51;0;0;upmYCXAL7;4260557421932;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina C Naturale BIO;620566115;3.5.2026;cpc;1,51;;13;0;0;0;0;0;0;upmFY9KW9;4260557420331;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutammina in Polvere;649157245;3.5.2026;cpc;0,51;;13;1;7,692308;0;0,51;0;0;upmUPTFMH;4260557423233;0,51
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;658280058;3.5.2026;cpc;1,31;;19;2;15,384615;0;2,62;0;0;upm9KDWAZ;4260557421383;1,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Cholin Trio;618496729;3.5.2026;cpc;1,01;1;13;1;7,692308;100;1,01;21,9;2168,316832;upm97PFY9;4260557421826;1,01
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Fieno Greco BIO;641649770;3.5.2026;cpc;0,51;;13;1;7,692308;0;0,51;0;0;upm7AL3PG;4260557422977;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cordyceps Sinensis BIO;649146937;3.5.2026;cpc;0,31;;13;0;0;0;0;0;0;upmTG77MW;4260557422991;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Shiitake Extrakt;658280086;3.5.2026;cpc;0,51;;12;0;0;0;0;0;0;upmZ7P4AX;4260557421970;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Mariendistel Plus;658280173;3.5.2026;cpc;0,51;;12;0;0;0;0;0;0;upmR9H2HU;4260557422892;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Hagebutte BIO;643089764;3.5.2026;cpc;0,31;;15;1;8,333333;0;0,31;0;0;upmWRWWCG;4260557421048;0,31
