campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Digestive Enzymes Complex;649113564;15.11.2025;;26;0;0;0;0;0;0;upmP3AFZZ;4260557422533;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzk?mmel?l BIO;658295946;15.11.2025;;26;1;3,846154;0;0,51;0;0;upmEUZ9F7;4260557421376;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Bockshornklee BIO;643134873;15.11.2025;;25;0;0;0;0;0;0;upm7AL3PG;4260557422977;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Tryptophan;619660835;15.11.2025;;25;0;0;0;0;0;0;14250841;4260309481108;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Cumino Nero BIO;658352478;15.11.2025;1;25;0;0;4;0;26,9;0;upmEUZ9F7;4260557421376;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Curcuma BIO;641629765;15.11.2025;;25;0;0;0;0;0;0;upm27X4XW;4260557422878;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver;620609038;15.11.2025;;25;1;4;0;1,01;0;0;upmWCKTTE;4260309481214;1,01
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;652853552;15.11.2025;;25;1;4;0;0,51;0;0;upm7FHKKZ;4260557421437;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;619721771;15.11.2025;;25;1;4;0;0,51;0;0;upm3RXHUC;4260557422229;0,51
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658280066;15.11.2025;;25;1;4;0;0,61;0;0;upm7PGM77;4260557421765;0,61
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Omega-3 ?l;625779008;15.11.2025;;25;0;0;0;0;0;0;upm9KDWAZ;4260557421383;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;649151902;15.11.2025;;24;0;0;0;0;0;0;upmPHKX9F;4260557423141;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Mushroom Mix Complex;641622719;15.11.2025;;24;1;4,166667;0;0,51;0;0;upm4XDXPR;4260557422045;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO ZMA;641623418;15.11.2025;;24;4;16,666667;0;2,04;0;0;upmRXLDAR;4260557422465;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Knoblauch Plus;620530228;15.11.2025;;24;0;0;0;0;0;0;upm2WRLPU;4260557422632;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620605197;15.11.2025;;24;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Griffonia;658296090;15.11.2025;;24;0;0;0;0;0;0;upmG7RZLC;4260557423318;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Colina Bitartrato;658296180;15.11.2025;;24;0;0;0;0;0;0;upmU9FP9M;4260557423325;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Plus;620565116;15.11.2025;;24;0;0;0;0;0;0;14251148;4260309482778;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;658295906;15.11.2025;;24;0;0;0;0;0;0;upmE39PTR;4260557422113;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Guggul;649077297;15.11.2025;;24;1;4,166667;0;0,31;0;0;upmT99EZK;4260557421123;0,31
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Natural Silicium BIO;643094062;15.11.2025;;24;2;8,333333;0;0,62;0;0;upmCAPY7U;4260557422328;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO ZMA (Zink + Magnesium + Vitamin B6);617842639;15.11.2025;;24;0;0;0;0;0;0;upmRXLDAR;4260557422465;0
