campaign;campaignId;date;Success Metric Type;Success Metric Value;conversions;unfilteredImpressions;clicks;ctr;cvr (clicks);budgetSpend;gmv;roas;productId;ean;cpc
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;619721771;9.5.2026;cpc;0,51;;31;1;3,225806;0;0,51;0;0;upm3RXHUC;4260557422229;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;620605153;9.5.2026;cpc;0,51;;31;1;3,225806;0;0,51;0;0;14251036;4260557420102;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;658295457;9.5.2026;cpc;1,71;;31;1;3,225806;0;1,71;0;0;upm7PGM77;4260557421765;1,71
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Cherry;629516457;9.5.2026;cpc;0,51;;31;1;3,225806;0;0,51;0;0;14251102;4260557420027;0,51
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620605197;9.5.2026;cpc;0,51;;31;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Maca Nera Plus;649149549;9.5.2026;cpc;0,81;;34;1;3,333333;0;0,81;0;0;upmG4PKUG;4260557423042;0,81
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene;653866107;9.5.2026;cpc;0,31;;40;1;3,333333;0;0,31;0;0;14250551;4260309484208;0,31
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina;649092862;9.5.2026;cpc;0,41;;35;0;0;0;0;0;0;upmYPTY2W;4260557421925;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;643093981;9.5.2026;cpc;1,41;;33;1;3,333333;0;1,41;0;0;upmKY422A;4260557422212;1,41
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;620501456;9.5.2026;cpc;0,51;;30;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Myo-Inositol Complex;625786532;9.5.2026;cpc;1,01;;29;0;0;0;0;0;0;upm7PGM77;4260557421765;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;643094141;9.5.2026;cpc;0,31;;30;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;649171519;9.5.2026;cpc;0,51;;29;1;3,571429;0;0,51;0;0;upm9ZTF3H;4260557421178;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin;620605193;9.5.2026;cpc;1,01;;28;2;7,142857;0;2,02;0;0;14250551;4260309484208;1,01
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucomammano BIO;641643679;9.5.2026;cpc;0,51;;28;0;0;0;0;0;0;upmLXEUT7;4260557423240;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103715;9.5.2026;cpc;0,51;;27;2;7,407407;0;1,02;0;0;upmKY422A;4260557422212;0,51
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Probiotici e Prebiotici Bambini;658445101;9.5.2026;cpc;1,01;;27;0;0;0;0;0;0;14250953;4260557420249;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Reishi;658296413;9.5.2026;cpc;0,31;;33;0;0;0;0;0;0;14251013;4260309481665;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina C Naturale BIO;649076562;9.5.2026;cpc;1,31;;39;0;0;0;0;0;0;upmFY9KW9;4260557420331;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;620501459;9.5.2026;cpc;0,51;;27;2;7,407407;0;1,02;0;0;upm7C9XR2;4260557420836;0,51
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Tirosina Plus;649143283;9.5.2026;cpc;0,31;;38;0;0;0;0;0;0;upm2FC2LC;4260557422885;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Artiglio del Diavolo Plus;620572756;9.5.2026;cpc;0,51;;26;0;0;0;0;0;0;upmD3U322;4260557421192;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Sun Care Complex;658280011;9.5.2026;cpc;0,51;;26;1;3,846154;0;0,51;0;0;upm7C9XR2;4260557420836;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Natural Jod BIO;619661620;9.5.2026;cpc;0,51;;26;0;0;0;0;0;0;14250769;4260557420256;0
SOLD_OUT_it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Betacarotene Plus;641622772;9.5.2026;cpc;0,51;;26;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;649145075;9.5.2026;cpc;0,91;;26;2;7,692308;0;1,82;0;0;upmKAXT9Y;4260557422915;0,91
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rosskastanie Plus BIO;643090783;9.5.2026;cpc;0,41;;31;1;3,846154;0;0,41;0;0;upmUR4ZK4;4260557421239;0,41
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;658279991;9.5.2026;cpc;0,51;;26;2;7,692308;0;1,02;0;0;upmUFEEWW;4260557420300;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multivitamin Spray Junior;625777201;9.5.2026;cpc;0,51;;26;0;0;0;0;0;0;upm9ZTF3H;4260557421178;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;658279992;9.5.2026;cpc;0,31;;31;0;0;0;0;0;0;upmUFEEWW;4260557420300;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Magnesio Bisglicinato;649159286;9.5.2026;cpc;1,31;;35;0;0;0;0;0;0;upmX4LT4H;4260557423257;0
