campaign;campaignId;date;conversions;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Digestive Enzymes Complex;649113218;8.12.2025;;59;0;0;0;0;0;0;upmP3AFZZ;4260557422533;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO K?rbiskern?l BIO;643093438;8.12.2025;;58;1;1,724138;0;0,31;0;0;upmY7MX4C;4260557422014;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 gocce;641629767;8.12.2025;;58;2;3,448276;0;1,02;0;0;upmYRCT9P;4260557422908;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Spray Junior;643093986;8.12.2025;;58;0;0;0;0;0;0;upm3RXHUC;4260557422229;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle BIO;658280161;8.12.2025;;57;1;1,754386;0;0,31;0;0;upmDZU3ZG;4260557422854;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colla-Veg;652877682;8.12.2025;;57;0;0;0;0;0;0;14250775;4260309483089;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glucosamin Complex;620567054;8.12.2025;;57;1;1,754386;0;0,51;0;0;upmTYL3Y7;4260557420737;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Gaba Plus;625777766;8.12.2025;1;57;3;5,263158;1,754386;1,53;21,9;1431,372549;upmF2EMKH;4260557421185;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Quercetina Complex;658381384;8.12.2025;;57;0;0;0;0;0;0;upmF2AFXC;4260557423509;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina D3 + K2;641650857;8.12.2025;;57;1;1,754386;0;0,51;0;0;upmKAXT9Y;4260557422915;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Artiglio del Diavolo Plus;649082840;8.12.2025;;56;0;0;0;0;0;0;upmD3U322;4260557421192;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamina C Liposomiale;620566158;8.12.2025;;56;8;14,285714;0;4,08;0;0;upm77WEEP;4260557422786;0,51
SOLD_OUT_at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Arginin Plus;625771667;8.12.2025;;56;2;3,571429;0;1,02;0;0;upmKXF9FG;4260557420751;0,51
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Party Hero;653854384;8.12.2025;;55;1;1,818182;0;0,3;0;0;upmFACEA7;4260557423356;0,3
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colina Bitartrato;658296216;8.12.2025;;55;1;1,818182;0;0,31;0;0;upmU9FP9M;4260557423325;0,31
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Knoblauch Plus;626438714;8.12.2025;;55;4;7,272727;0;2,04;0;0;upm2WRLPU;4260557422632;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina K2;658296233;8.12.2025;;54;1;1,851852;0;0,31;0;0;upmFYFHAU;4260557423424;0,31
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;658279979;8.12.2025;;54;0;0;0;0;0;0;14251036;4260557420102;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Nachtkerzen ?l;658291480;8.12.2025;;54;0;0;0;0;0;0;upm7DM474;4260557423448;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Aglio Nero;658352469;8.12.2025;;54;0;0;0;0;0;0;14251059;4260557420157;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Echinacea Plus;620565882;8.12.2025;;54;4;7,407407;0;4,04;0;0;upmPHKX9F;4260557423141;1,01
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Gaba Plus;618496730;8.12.2025;;54;0;0;0;0;0;0;upmF2EMKH;4260557421185;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO BIO Mushroom Mix;625774145;8.12.2025;;53;0;0;0;0;0;0;upmALDCEH;4260557423028;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamine B Complex;658331670;8.12.2025;;53;0;0;0;0;0;0;14251094;4260309482754;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Black Maca Plus;658282813;8.12.2025;;53;0;0;0;0;0;0;upmG4PKUG;4260557423042;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Astaxantina BIO;649155147;8.12.2025;;53;0;0;0;0;0;0;upm7GZX42;4260557423165;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Pro Bio Kulturenkomplex;618496725;8.12.2025;;52;0;0;0;0;0;0;14250976;4260557420034;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Ashwagandha BIO;620566536;8.12.2025;;52;2;3,846154;0;1,02;0;0;upmUPLLZH;4260557420676;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Rhodiola rosea Extrakt;643082833;8.12.2025;;51;0;0;0;0;0;0;14251036;4260557420102;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Colla-Veg Complex;658445113;8.12.2025;;51;0;0;0;0;0;0;14250775;4260309483089;0
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver DOSE;643236175;8.12.2025;1;51;1;1,960784;1,960784;0,61;24,9;4081,967213;upmTLUPGT;4260309483881;0,61
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Maca Nera + Tribulus + Zinco;649108075;8.12.2025;;50;0;0;0;0;0;0;upmEK72LX;4260557422434;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colla-Veg Complex;658445117;8.12.2025;;50;0;0;0;0;0;0;14250775;4260309483089;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Colon Care Complex;658353192;8.12.2025;;50;0;0;0;0;0;0;14250605;4260557420201;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Prosta-X;658381378;8.12.2025;;50;1;2;0;1,01;0;0;upmKYYZM4;4260557423486;1,01
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Immu Pro Complex;658279995;8.12.2025;;49;0;0;0;0;0;0;upm7EAAWM;4260557420317;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;643136807;8.12.2025;;49;1;2,040816;0;0,31;0;0;upmDFWTTT;4260557423110;0,31
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Knoblauch Plus;620530228;8.12.2025;;49;0;0;0;0;0;0;upm2WRLPU;4260557422632;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Saw palmetto + Pygeum africanum;658280116;8.12.2025;;49;0;0;0;0;0;0;upmMPKDE7;4260557422311;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Oregano ?l BIO;658280077;8.12.2025;;49;0;0;0;0;0;0;upmYCXAL7;4260557421932;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;643094174;8.12.2025;;49;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;641620457;8.12.2025;;49;1;2,040816;0;0,51;0;0;upmE39PTR;4260557422113;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Drenaflux Complex;629500801;8.12.2025;;48;0;0;0;0;0;0;upm2XGYDU;4260557422489;0
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO K?rbiskern?l BIO;619721382;8.12.2025;;48;2;4,166667;0;1,02;0;0;upmY7MX4C;4260557422014;0,51
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Glycin Pulver;620530024;8.12.2025;;48;1;2,083333;0;1,01;0;0;upmR9H4DE;4260557422595;1,01
SOLD_OUT_com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Multi Magnesium Complex;617842636;8.12.2025;;48;4;8,333333;0;1,2;0;0;upmUZUHTT;4260557421888;0,3
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Collagene Vegano + Acido Ialuronico;658334350;8.12.2025;;48;0;0;0;0;0;0;upmK3CG99;4260557422656;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO OPC Trio;626443283;8.12.2025;;47;0;0;0;0;0;0;upmWFGGMG;4260557423097;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Mirtillo Nero + Corteccia di Pino BIO\,;649102105;8.12.2025;;47;0;0;0;0;0;0;upm2LFWC7;4260557422076;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Colon Care Complex;658353191;8.12.2025;;47;1;2,12766;0;0,51;0;0;14250605;4260557420201;0,51
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Riso Rosso Plus;649150541;8.12.2025;;47;1;2,12766;0;0,31;0;0;upmDFWTTT;4260557423110;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Beta Carotin Plus ?l;643094141;8.12.2025;;47;0;0;0;0;0;0;upmGPMUEM;4260557422427;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;626443344;8.12.2025;;47;1;2,12766;0;0,51;0;0;upmDFWTTT;4260557423110;0,51
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Schwarzer Knoblauch;625767689;8.12.2025;;46;0;0;0;0;0;0;14251059;4260557420157;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Igname Selvatico +  Zinco;658353188;8.12.2025;;46;0;0;0;0;0;0;14251183;4260309481672;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Sugar Balance Complex;652861490;8.12.2025;;46;0;0;0;0;0;0;upmAD4HK4;4260557422403;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin B12 Tropfen;620608016;8.12.2025;;46;0;0;0;0;0;0;upmYRCT9P;4260557422908;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO L-Glutathion Complex;626442525;8.12.2025;;46;1;2,173913;0;0,51;0;0;upmLCF24D;4260557423035;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Venaflux Complex;649103715;8.12.2025;;45;0;0;0;0;0;0;upmKY422A;4260557422212;0
at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Roter Reis Plus;658282817;8.12.2025;;45;3;6,666667;0;0,93;0;0;upmDFWTTT;4260557423110;0,31
