campaign;campaignId;date;purchase;impressions;clicks;ctr;cvr;budgetSpend;gmv;roas;productId;ean;cpc
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Party Hero;653854384;16.10.2025;;34;1;2,941176;0;0,31;0;0;upmFACEA7;4260557423356;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Immu Pro Complex;643084957;16.10.2025;;34;0;0;0;0;0;0;upm7EAAWM;4260557420317;0
com_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3+K2 Tropfen;620538813;16.10.2025;;34;2;5,882353;0;1,02;0;0;upmKAXT9Y;4260557422915;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Strong Bones;658296086;16.10.2025;;34;1;2,941176;0;0,51;0;0;upmAP9MLM;4260557423301;0,51
SOLD_OUT_com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Natural Silicium BIO;643094062;16.10.2025;;34;0;0;0;0;0;0;upmCAPY7U;4260557422328;0
SOLD_OUT_it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamina B12 Spray;658334267;16.10.2025;;33;0;0;0;0;0;0;14251102;4260557420027;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Griffonia;658283048;16.10.2025;;33;0;0;0;0;0;0;upmG7RZLC;4260557423318;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Koffein;643137040;16.10.2025;;33;0;0;0;0;0;0;upm4XZRWY;4260557423127;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Moringa BIO;643233715;16.10.2025;;33;2;6,060606;0;0,62;0;0;upmE39PTR;4260557422113;0,31
SOLD_OUT_at_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Vitamin D3 und K2 ?l;658280065;16.10.2025;;33;0;0;0;0;0;0;upm7FHKKZ;4260557421437;0
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Light Legs Complex;658381501;16.10.2025;;33;2;6,060606;0;1,02;0;0;upmD7EWMP;4260557420454;0,51
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Colla-Veg Complex;658445113;16.10.2025;;33;2;6,060606;0;1,02;0;0;14250775;4260309483089;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO L-Citrullin Plus;643125971;16.10.2025;;33;1;3,030303;0;0,31;0;0;upmTF7MFK;4260557422625;0,31
it_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO Tribulus Terrestris;658296415;16.10.2025;1;32;3;9,375;3,125;1,53;20,9;1366,013072;14251088;4260309481313;0,51
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Teufelskralle Plus;643090107;16.10.2025;;32;2;6,25;0;0,62;0;0;upmD3U322;4260557421192;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Female Harmony Complex;643239568;16.10.2025;;32;0;0;0;0;0;0;upmUFEEWW;4260557420300;0
at_MarketplaceBooster_Vegavero (Marketplace Seller)_VEGAVERO MSM Pulver DOSE;658279977;16.10.2025;;32;0;0;0;0;0;0;upmTLUPGT;4260309483881;0
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Hagebutte BIO;643089764;16.10.2025;;32;0;0;0;0;0;0;upmWRWWCG;4260557421048;0
it_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO Elettroliti Complex;649122256;16.10.2025;;32;1;3,125;0;0,31;0;0;upmD23XCL;4260557422823;0,31
com_CrossSellReRank_Vegavero (Marketplace Seller)_VEGAVERO FenoLact;652871267;16.10.2025;;31;1;3,225806;0;0,31;0;0;upmUTLC72;4260557422984;0,31
